Section,Target Set,Count,Column4,Row,Col,RawDataPath,File Name,Plate Barcode,IBT Barcode,Conc,CELL LINE,RUN,SET,notes
A - 1,Summary,630,,A,1,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
A - 2,Summary,657,,A,2,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
A - 3,Summary,599,,A,3,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
A - 4,Summary,657,,A,4,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
A - 5,Summary,571,,A,5,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
A - 6,Summary,613,,A,6,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
A - 7,Summary,585,,A,7,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
A - 8,Summary,631,,A,8,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
A - 9,Summary,600,,A,9,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
A - 10,Summary,645,,A,10,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28345_1\4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,4x_DAPI_A2780ip2_28345_1.2019.09.03.13.54.49.CSV,28345,Day0,,A2780ip2,1,1,20190906
